county,population
Alameda,1670834
Alpine,1142
Amador,37676
Butte,210291
Calaveras,45023
Colusa,21902
Contra Costa,1153561
Del Norte,27298
El Dorado,193227
Fresno,1023358
Glenn,29400
Humboldt,133302
Imperial,188777
Inyo,18584
Kern,917553
Kings,153608
Lake,64040
Lassen,28833
Los Angeles,10172951
Madera,158147
Marin,260831
Mariposa,18067
Mendocino,87946
Merced,283521
Modoc,9570
Mono,13464
Monterey,441143
Napa,139088
Nevada,98114
Orange,3194332
Placer,403711
Plumas,18260
Riverside,2442304
Sacramento,1555365
San Benito,62353
San Bernardino,2180537
San Diego,3343355
San Francisco,897806
San Joaquin,773632
San Luis Obispo,277259
San Mateo,773244
Santa Barbara,451840
Santa Clara,1961969
Santa Cruz,271233
Shasta,178045
Sierra,3201
Siskiyou,44461
Solano,440224
Sonoma,492980
Stanislaus,557709
Sutter,100750
Tehama,65129
Trinity,13548
Tulare,479977
Tuolumne,54917
Ventura,842886
Yolo,221705
Yuba,78887